lat;lon;addr:city;addr:country;addr:housenumber;addr:postcode;addr:street;brand;brand:wikidata;brand:wikipedia;cuisine;description;drive_through;name;note;operator;takeaway;wheelchair;bicycle;information;access;wikidata;wikimedia_commons;wikipedia;website;toilets:wheelchair;alt_name;check_date;opening_hours;changing_table;contact:phone;contact:website;delivery;diet:vegetarian;indoor_seating;internet_access;internet_access:fee;kids_area;outdoor_seating;addr:housename;contact:facebook;contact:linkedin;email;payment:museumkaart;phone;heritage;heritage:operator;image;man_made;level;operator:wikidata;wifi;old_name;seamark:harbour:category;seamark:name;seamark:type;harbour;highway;name:fr;direction;capacity;reservation;smoking;toilets:access;backrest;colour;material;seats;delivery:covid19;opening_hours:covid19;takeaway:covid19;description:covid19;payment:cash;payment:maestro;payment:mastercard;contact:mobile;url;contact:email;addr:suburb;sub_category;category
50.83630271;4.307719805;Anderlecht;BE;31;1070;Rue de Formanoir ;;;;;;;Maison d'Erasme et Béguinage;;;;;;;;;;;http://www.erasmushouse.museum;;;;;;02 521 13 83;;;;;;;;;;;;info@erasmushouse.museum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;museum;tourism
50.81418162;4.266432435;Anderlecht;BE;808;1070;Route de Lennik ;;;;;;;Musée de la Médecine ULB;;;;;;;;;;;http://www.museemedecine.be;;;;;;02 555 34 31;;;;;;;;;;;;joelle.antoine@erasme.ulb.ac.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;museum;tourism
50.7427762;4.98244412;Hélecine;BE;15;1357;Rue du Moulin ;;;;;;;Musée Armand Pellegrin;;;;;;;;;;;http://www.helecine-map.be;;;;;;019 65 69 90;;;;;;;;;;;;musee.pellegrin@skynet.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;museum;tourism
50.64746659;5.584046976;Liège;BE;136;4000;Féronstrée;;;;;;;Musée le Grand Curtius;;;;;;;;;;;http://www.grandcurtius.be;;;;;;04 221 68 17;;;;;;;;;;;;infograndcurtius@liege.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;museum;tourism
50.64057642;5.575492246;Liège;BE;7;4000;Place du Vingt Août ;;;;;;;Galerie Wittert - Musées de l'ULG - Collections Artistiques;;;;;;;;;;;http://www.wittert.ulg.ac.be;;;;;;04 366 57 67;;;;;;;;;;;;wittert@ulg.ac.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;museum;tourism
50.62845757;5.5830543;Liège;BE;9;4020;Rue Richard-Heintz ;;;;;;;Musée des Transports En Commun de Wallonie;;;;;;;;;;;http://www.musee-transports.be;;;;;;04 361 94 19;;;;;;;;;;;;info@musee-transports.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;museum;tourism
50.62812002;5.577595557;Liège;BE;3;4020;Parce de la Boverie ;;;;;;;La Boverie, Beaux-Arts Liège;;;;;;;;;;;http://www.beauxartsliege.be;;;;;;04 221 92 31;;;;;;;;;;;;info@laboverie.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;museum;tourism
50.63898307;5.578715798;Liège;BE;22;4020;Quai Edouard Van Beneden ;;;;;;;Maison de la Science;;;;;;;;;;;http://maisondelascience.uliege.be/;;;;;;04 366 50 04;;;;;;;;;;;;maison.science@uliege.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;museum;tourism
50.46304981;4.861022683;Namur;BE;7;5000;Rue Saintraint ;;;;;;;"Pôle Muséal ""Les Bateliers""";;;;;;;;;;;http://www.namurtourisme.be/fr/musees-culture-patrimoine/musees/musee-arts-decoratifs;;;;;;081 24 87 20;;;;;;;;;;;;museeartsdecoratifs@ville.namur.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;museum;tourism
50.46301302;4.862659307;Namur;BE;12;5000;Rue Fumal ;;;;;;;Musée Félicien Rops;;;;;;;;;;;http://www.museerops.be;;;;;;081 77 67 55;;;;;;;;;;;;info@museerops.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;museum;tourism
50.462415;4.88938275;Jambes;BE;1;5100;Place Jean de Flandre ;;;;;;;Centre d'archéologie, d'Art et d'histoire de Jambes;;;;;;;;;;;http://www.anhaive.be;;;;;;081 32 23 30;;;;;;;;;;;;info@anhaive.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;museum;tourism
50.41749984;4.878642831;Wépion;BE;1037;5100;Chaussée de Dinant ;;;;;;;Musée de la Fraise;;;;;;;;;;;http://www.museedelafraise.eu;;;;;;081 46 20 07;;;;;;;;;;;;info@museedelafraise.eu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;museum;tourism
